New_Index,name,rental_way,size,toward,price,place
371,苹果社区,整租,3室1厅,南/北,1800,汽车东站
372,天翼花园,合租,5居室,南卧,958,高桥
373,天麓尚层,整租,3室2厅,南,2600,雷锋大道
374,顺天黄金海岸,合租,5居室,南卧,750,开福区政府
375,马王堆陶瓷建材新城,整租,3室1厅,南,1800,马王堆
376,碧桂园星荟,整租,1室1厅,南,1500,星沙其他
377,碧桂园星荟,整租,2室1厅,南,1500,星沙其他
378,银园公寓,合租,4居室,南卧,1050,火车站
379,复地星光天地,整租,1室1厅,南,1800,德思勤
380,万里时代广场,整租,3室2厅,南,2400,武广新城
381,新力铂园,整租,3室2厅,南/北,4500,南郊公园
382,盛德碧瑞庭,合租,5居室,南卧,700,铁道学院
383,山水誉峰,整租,4室2厅,南,4000,桐梓坡
384,楚江华庭,合租,4居室,南卧,1000,河西人人乐
385,金科时代中心,整租,1室1厅,南,1100,泉塘
386,芙蓉苑,合租,4居室,南卧,1000,晚报
387,咸嘉花园,整租,3室2厅,南,2600,商学院
388,富绿新村,合租,5居室,北卧,800,南郊公园
389,映客龙湖璟翠公馆,整租,3室2厅,南,3500,洋湖垸
390,东屯渡高层安置小区,合租,5居室,南卧,1200,芙蓉区政府
391,福晟翡翠湾,整租,2室1厅,南,3000,梅溪湖南岸
392,银力家园,合租,5居室,南卧,900,马王堆
393,咸嘉花园,整租,3室2厅,南,2600,商学院
394,椰林公寓,合租,5居室,北卧,800,马王堆
395,美的麓府,整租,3室2厅,南,2800,麓谷西
396,富绿新村,合租,5居室,北卧,800,南郊公园
397,澳海谷山府,整租,4室2厅,东/南,2200,金星北
398,东屯渡高层安置小区,合租,5居室,南卧,1200,芙蓉区政府
399,运达中央广场,整租,3室2厅,南/北,9000,武广新城
400,名都花园,合租,5居室,南/北卧,750,赤岗冲
401,五矿万境水岸一期,整租,2室2厅,南,2300,喜盈门
402,华远华中心,整租,4室2厅,南,17500,五一广场
403,碧桂园漓湘悦,整租,1室1厅,北,1400,泉塘
404,华远华中心,整租,4室2厅,南,17500,五一广场
405,万顺家园,整租,4室2厅,南,4000,浏城桥
406,长沙市国土局宿舍二院,整租,3室2厅,南,2700,晚报
407,苹果社区,整租,3室2厅,东南,2200,汽车东站
408,瀚江府,整租,3室2厅,南,9000,北辰三角洲
409,力高凤凰新天,整租,1室1厅,南,1600,金盆岭
410,新长海D1站,整租,1室1厅,南,1750,暮云
411,恒大珺悦府,整租,1室1厅,南,2000,马王堆
412,华远华中心,整租,4室2厅,南,15000,五一广场
413,华瑞大厦,整租,1室1厅,南,2600,火车站
414,顺天城,整租,1室0厅,东南,1188,浏城桥
415,三角花园星城,整租,4室2厅,南,5200,松桂园
416,湘凯石化大厦,整租,1室0厅,东南,1488,书院路
417,未来蜂巢,整租,3室2厅,东南,1800,泉塘
418,浏正街136号,整租,1室1厅,东南,1988,浏城桥
419,金桥国际,整租,1室1厅,南,1000,望城区
420,建工集团宿舍,整租,1室0厅,东南,1388,浏城桥
421,楚天家园,整租,2室1厅,南,2000,开元路
422,芙蓉苑,合租,5居室,南卧,1048,晚报
423,荷花园众立小区,整租,3室2厅,南,2300,马王堆
424,长房天翼未来城,合租,4居室,南卧,750,左家塘
425,嘉盛华庭,整租,2室2厅,南,2200,武广新城
